"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"Bournemouth Spiral Partnership","1072419",0,"Bournemouth Young Men's Christian Assocation","1078728",0,"2015-10-21","2016-01-01","2017-07-06"
"Bowel Cancer Wales","1118161",0,"Cancer Research and Genetic UK","1121512",0,"","2013-01-06","2013-03-06"
"Boxgrove Village Hall And Community Centre","305348",0,"Boxgrove Village Hall And Community Centre","1167340",0,"2016-07-07","2016-06-30","2017-01-19"
"Bradford Action for Refugees Ltd","1130943",0,"Nothern Refugee Centre","1078816",0,"2013-01-04","2013-01-04","2013-08-05"
"Braintree District Voluntary Support Agency Ltd","1147020",0,"Community360","1092567",0,"","2017-01-04","2017-07-06"
"Brand's Gift","263284",0,"Charity of Richard Cloudesley","205959",0,"","2008-01-05","2008-08-10"
"Brathay Exploration Trust","1061156",0,"Brathay Trust","1021586",0,"","2015-10-31","2016-10-03"
"Braunstone Evangelical Free Church","","","Braunstone Evangelical Free Church","1173676",0,"","2018-02-24","2018-12-05"
"Brecknock Women's Aid Limited","701926",0,"Calan DVS","1146056",0,"2014-09-30","2014-09-30","2014-10-20"
"Brent Victim Support Scheme","801213",0,"Victim Support","298028",0,"","2008-05-28","2009-06-16"
"Bridgend Women's Aid","1090552",0,"Calan DVS","1146056",0,"","2015-04-30","2016-04-29"
"Bridget's Trust","1085621",0,"The Snowdon Award Scheme","282754",0,"","2011-06-13","2011-06-30"
"Brig Gen Lord Playfair of St Andrews","210203","20","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"Brighton And Central Sussex Group Of Advanced Motorists","1053335",0,"Central Southern Group Of Advanced Motorists","1079142",0,"","2013-01-09","2014-08-01"
"Brighton Heart Support Trust","297337",0,"The Sussex Heart Charity","1120998",0,"","2009-02-24","2009-11-26"
"Bristol Choral Society","266472",0,"Bristol Choral Society","1157699",0,"2014-12-11","2015-01-13","2016-06-01"
"Bristol Reynolds' Samaritan Society","200779",0,"St Peters Non Ecclesiastical Charities","235765",0,"2013-11-09","2013-11-09","2013-09-13"
