company_number,charity_number
CE005229,1165247
CE013029,1176819
CE008210,1170207
CE005969,1165038
CE003219,1159123
CE013687,1177776
CE015459,1180440
CE002246,1157779
CE012212,1174643
CE003247,1159176
CE003618,1162290
CE007601,1167782
CE000754,1155644
CE007078,1168330
CE006058,1166229
CE006654,1165628
CE004183,1161778
CE008990,1171431
CE014298,1178645
CE014905,1179598
CE002296,1157886
CE014110,1178401
CE010773,1174260
CE015620,1180713
CE008568,1168801
CE009276,1170592
CE013564,1177597
CE014017,1178261
CE014715,1179306
CE004854,1162344
CE012091,1174469
CE011367,1173898
CE014913,1179607
CE004408,1163287
CE002748,1160649
CE004011,1161470
CE010207,1172814
CE013872,1178056
CE000208,1153866
CE010680,1174102
CE012095,1174474
CE014916,1179614
CE004215,1161846
CE005132,1162831
CE003130,1158927
CE015625,1180720
CE013167,1177037
CE009295,1170619
CE014469,1178994
CE002004,1157231
CE004283,1163059
CE012299,1174785
CE005780,1164687
CE006243,1166539
CE001543,1155074
CE013295,1177213
CE016052,1181362
CE011768,1175798
CE003357,1159407
CE005925,1164958
CE014965,1179681
CE003410,1161913
CE015947,1181213
CE011865,1175378
CE005804,1164725
CE000059,1153373
CE016051,1181361
CE010713,1174153
CE012848,1176546
CE014748,1179360
CE004324,1163139
CE005450,1164044
CE013731,1177847
CE008582,1168823
CE007022,1168238
CE013648,1177719
CE008836,1171183
CE002612,1159891
CE011385,1173924
CE005214,1165211
CE003148,1158954
CE014787,1179421
CE004588,1164025
CE008447,1169999
CE002238,1157762
CE005431,1165602
CE007627,1167827
CE001753,1158521
CE012226,1174674
CE007472,1167581
CE013155,1177019
CE013786,1177936
CE015561,1180600
CE015448,1180421
CE013339,1177271
CE013145,1177004
CE005165,1162893
CE001337,1154435
CE011662,1175259
CE003741,1160960
CE001777,1158573
CE009570,1171028
CE002791,1160015
CE008242,1169660
CE012147,1174548
CE000772,1155680
CE002916,1160287
CE012046,1174399
CE000992,1155938
CE010442,1171837
CE014777,1179400
CE009815,1172392
CE004150,1161708
CE000966,1156776
CE010972,1173283
CE014666,1179238
CE011394,1173940
CE002126,1157509
CE005469,1164082
CE004867,1162368
CE012297,1174783
CE009231,1170520
CE002641,1159964
CE015273,1180151
CE005562,1164284
CE008573,1168812
CE014118,1178413
CE008540,1168747
CE013413,1177380
CE005792,1164709
CE010297,1171623
CE006837,1165907
CE007717,1167977
CE013772,1177917
CE000906,1156630
CE003224,1159134
CE011486,1174989
CE013205,1177115
CE005369,1165500
CE015868,1181098
CE003820,1161113
CE014263,1178593
CE010431,1171818
CE014351,1178820
CE012669,1176283
CE011882,1175402
CE002584,1159843
CE010868,1173111
CE009223,1170507
CE010385,1171751
CE009628,1171116
CE007247,1168627
CE011236,1173706
CE012051,1174407
CE008686,1168986
CE002158,1157575
CE000586,1152916
CE013515,1177525
CE006951,1166100
CE009008,1171460
CE013721,1177831
CE015070,1179834
CE006141,1166378
CE012982,1176751
CE006528,1166799
CE015652,1180757
CE000829,1155828
CE003527,1162121
CE005806,1164728
CE003044,1158733
CE006410,1167199
CE009745,1172278
CE007980,1169434
CE012014,1175619
CE002292,1157878
CE003184,1159029
CE013330,1177259
CE011783,1175828
CE014827,1179484
CE015122,1179927
CE013680,1177763
CE014138,1178446
CE013186,1177059
CE013824,1177988
CE008144,1170090
CE005389,1165529
CE001374,1154575
CE011798,1175279
CE010111,1172672
CE005244,1165279
CE002873,1160183
CE003683,1160852
CE015942,1181205
CE010633,1174023
CE010245,1172867
CE013268,1177164
CE006540,1166819
CE000405,1151962
CE009860,1172462
CE008100,1169632
CE013400,1177356
CE011129,1173540
CE006011,1165113
CE014179,1179016
CE012812,1176491
CE010528,1171981
CE007300,1167284
CE009442,1170844
CE014389,1178876
CE015820,1181022
CE003637,1160754
CE003934,1161325
CE007568,1167731
CE000710,1155497
CE002839,1160113
CE009879,1172497
CE006545,1166826
CE010265,1171566
CE003638,1160756
CE001807,1158644
CE010083,1172626
CE014430,1178937
CE014412,1178912
CE005908,1164930
CE001925,1157054
CE002937,1160321
CE015490,1180494
CE011114,1173517
CE002939,1160323
CE007161,1168477
CE008788,1169168
CE003351,1159401
CE000193,1153790
CE000153,1153665
CE012981,1176749
CE013972,1178201
CE011111,1173509
CE015043,1179790
CE009923,1172933
CE001387,1154612
CE002689,1160546
CE000852,1155894
CE006198,1166476
CE001241,1154094
CE014684,1179264
CE003434,1161954
CE015422,1180386
CE013142,1176996
CE014501,1178708
CE010327,1171664
CE002046,1157324
CE002625,1159921
CE001978,1157182
CE000225,1153923
CE003318,1159345
CE014947,1179660
CE015588,1180649
CE003116,1158906
CE000684,1155409
CE009716,1172224
CE016040,1181340
CE014378,1178857
CE005870,1164863
CE015815,1181014
CE002642,1159965
CE000250,1154008
CE007530,1167675
CE014476,1178672
CE001713,1158409
CE000451,1152304
CE006373,1167144
CE010684,1174107
CE010774,1174261
CE006588,1166917
CE006413,1166605
CE012396,1175852
CE001349,1154467
CE013094,1176931
CE007577,1167745
CE001741,1158478
CE010817,1174322
CE015857,1181083
CE008759,1169124
CE008411,1169934
CE006286,1167016
CE005386,1165526
CE015952,1181220
CE000162,1153700
CE008604,1168856
CE003868,1161224
CE010795,1174293
CE003190,1159044
CE004413,1163293
CE013951,1178167
CE015873,1181110
CE003889,1161254
CE015402,1180357
CE008192,1170173
CE013229,1177092
CE006474,1166697
CE001944,1157096
CE003423,1161933
CE004823,1163805
CE011764,1175794
CE008951,1171375
CE013141,1176995
CE008831,1171173
CE003987,1161424
CE015905,1181158
CE003161,1158982
CE005021,1162637
CE002324,1157960
CE005782,1164690
CE009044,1171521
CE007523,1167655
CE011030,1173358
CE011026,1173352
CE009508,1170941
CE012570,1176129
CE013314,1177240
CE000898,1156614
CE008791,1169172
CE009156,1170397
CE016028,1181322
CE000491,1152508
CE001835,1156835
CE006465,1166685
CE004834,1162310
CE007961,1169403
CE013873,1178057
CE015033,1179778
CE006506,1166759
CE013302,1177222
CE015600,1180666
CE011890,1175414
CE000292,1151187
CE015979,1181260
CE002848,1160128
CE015891,1181140
CE007861,1169226
CE000859,1155904
CE000361,1151747
CE007052,1168291
CE007574,1167739
CE010692,1174117
CE008400,1169917
CE012571,1176131
CE011536,1175058
CE000606,1153037
CE006234,1166529
CE004596,1163393
CE010024,1172532
CE002931,1160312
CE005163,1162889
CE008075,1169597
CE009040,1171512
CE001172,1156435
CE006102,1166304
CE006566,1166869
CE000630,1155226
CE005767,1164654
CE002198,1157687
CE001732,1158457
CE004678,1163540
CE013693,1177785
CE015853,1181077
CE003967,1161389
CE011896,1175424
CE004287,1163068
CE000831,1155833
CE001120,1156286
CE008666,1168951
CE015984,1181267
CE008476,1168653
CE014540,1179041
CE013993,1178231
CE008178,1170153
CE011474,1174970
CE000886,1156595
CE013779,1177926
CE007808,1168129
CE015252,1180124
CE002772,1160710
CE007405,1167467
CE000699,1155464
CE010947,1173248
CE011795,1175276
CE012741,1176384
CE008288,1169750
CE014801,1179447
CE005235,1165260
CE014237,1178559
CE002908,1160274
CE010676,1174095
CE015813,1181006
CE009723,1172234
CE003722,1160918
CE002510,1159683
CE000935,1156700
CE004865,1162363
CE011102,1173491
CE013041,1176839
CE015685,1180820
CE016044,1181345
CE006592,1166922
CE009979,1173023
CE013714,1177819
CE011706,1175716
CE003262,1159208
CE012199,1174622
CE012293,1174778
CE002107,1157467
CE010828,1174338
CE002895,1160233
CE014735,1179344
CE010806,1174307
CE013143,1176997
CE007965,1169411
CE014574,1179091
CE005830,1164776
CE002077,1157391
CE010890,1173141
CE009783,1172346
CE008846,1171197
CE014610,1179153
CE009283,1170600
CE011884,1175405
CE014957,1123866
CE013588,1177631
CE011655,1175244
CE003633,1160745
CE009556,1171011
CE012501,1176019
CE009135,1170354
CE009994,1173046
CE014759,1179374
CE014343,1178807
CE001447,1154783
CE010914,1173182
CE002492,1159639
CE004012,1161471
CE010884,1173134
CE002919,1160295
CE014568,1179080
CE007450,1167539
CE000867,1156553
CE002651,1159986
CE006788,1165836
CE004786,1163736
CE000527,1152636
CE003440,1161964
CE003607,1162273
CE002872,1160182
CE006966,1166129
CE010220,1172831
CE004602,1163409
CE003670,1160822
CE001087,1156207
CE014053,1178311
CE015034,1179781
CE012521,1176054
CE010708,1174148
CE010426,1171808
CE013992,1178229
CE012720,1176357
CE008234,1169651
CE013185,1177058
CE011350,1173871
CE013118,1176961
CE015961,1181231
CE013134,1176987
CE007449,1167536
CE006175,1166437
CE002797,1160031
CE013960,1178182
CE009300,1170626
CE003765,1161006
CE002257,1157796
CE013681,1177764
CE001786,1158599
CE010790,1174280
CE012657,1176268
CE002890,1160219
CE015874,1181112
CE008426,1169964
CE003783,1161036
CE002202,1157691
CE006792,1165845
CE014936,1179641
CE003865,1161211
CE000163,1153705
CE012764,1176415
CE015841,1181056
CE006908,1166031
CE015010,1179743
CE002968,1160377
CE015969,1181246
CE008946,1171368
CE011827,1175312
CE009180,1170446
CE002541,1159761
CE009087,1170272
CE012416,1175879
CE015510,1180522
CE013752,1177885
CE001647,1158283
CE011059,1173413
CE012755,1176404
CE008402,1169920
CE015274,1180153
CE012043,1174395
CE014226,1178544
CE006094,1166292
CE006263,1166567
CE009089,1170274
CE015710,1180862
CE012616,1176205
CE007127,1168426
CE009739,1172262
CE014475,1178671
CE012466,1175956
CE007333,1167347
CE014695,1179280
CE015765,1180940
CE009812,1172388
CE012465,1175955
CE010582,1172070
CE014397,1178887
CE000369,1151791
CE009572,1171030
CE009155,1170396
CE009884,1172505
CE013046,1176847
CE006838,1165908
CE010604,1172110
CE007419,1167489
CE014296,1178643
CE010212,1172821
CE000958,1156755
CE006922,1166048
CE014978,1179695
CE012630,1176227
CE009955,1172987
CE005891,1164904
CE003189,1159043
CE013870,1178054
CE005874,1164869
CE003542,1162145
CE010333,1171674
CE012648,1176257
CE007824,1168154
CE004060,1161548
CE014040,1178292
CE014426,1178930
CE009747,1172283
CE000749,1155609
CE004520,1163908
