RP Code,Company Number,Charity Number,Org ID
H2381,00159933,213513,GB-CHC-213513
A2074,07860164,1145847,GB-CHC-1145847
C3207,IP23184R,,GB-COH-IP23184R
4863,08972242,1157757,GB-CHC-1157757
21UF,,,GB-LAE-LEE
C2313,IP21700R,,GB-COH-IP21700R
C3674,IP23899R,,GB-COH-IP23899R
5134,,,GB-LAE-LIF
4734,06786752,1128355,GB-CHC-1128355
A3358,,237056,GB-CHC-237056
4795,02908711,1046933,GB-CHC-1046933
4877,RS007748,,GB-COH-RS007748
L3698,IP25276R,,GB-COH-IP25276R
H2676,00734870,243017,GB-CHC-243017
4752,07992672,,GB-COH-07992672
C3441,IP24148R,,GB-COH-IP24148R
L1255,IP13413R,,GB-COH-IP13413R
5074,,,GB-LAE-LIV
C2849,IP22321R,,GB-COH-IP22321R
L0063,IP15898R,,GB-COH-IP15898R
4873,RS007724,,GB-COH-RS007724
L4538,IP030568,,GB-COH-IP030568
LH4343,,1103644,GB-CHC-1103644
LH4454,IP29840R,,GB-COH-IP29840R
H1972,IP16747R,,GB-COH-IP16747R
4827,08847846,,GB-COH-08847846
C0508,IP21367R,,GB-COH-IP21367R
L4517,IP030441,,GB-COH-IP030441
00AB,,,GB-LAE-BDG
00AC,,,GB-LAE-BNE
00AD,,,GB-LAE-BEX
00AE,,,GB-LAE-BEN
5103,,,GB-LAE-BRY
00AG,,,GB-LAE-CMD
00AH,,,GB-LAE-CRY
00AJ,,,GB-LAE-EAL
00AK,,,GB-LAE-ENF
00AL,,,GB-LAE-GRE
00AM,,,GB-LAE-HCK
00AN,,,GB-LAE-HMF
00AQ,,,GB-LAE-HRW
00AR,,,GB-LAE-HAV
00AS,,,GB-LAE-HIL
00AT,,,GB-LAE-HNS
00AU,,,GB-LAE-ISL
00AY,,,GB-LAE-LBH
00AZ,,,GB-LAE-LEW
00BA,,,GB-LAE-MRT
00BB,,,GB-LAE-NWM
00BC,,,GB-LAE-RDB
00BF,,,GB-LAE-STN
00BG,,,GB-LAE-TWH
00BH,,,GB-LAE-WFT
00BJ,,,GB-LAE-WND
LH4377,01197478,269158,GB-CHC-269158
L1710,IP17979R,,GB-COH-IP17979R
L4277,03958380,,GB-COH-03958380
C3272,IP23463R,,GB-COH-IP23463R
LH0013,IP21004R,,GB-COH-IP21004R
A1892,,220078,GB-CHC-220078
5141,12107117,,GB-COH-12107117
5106,RS008279,,GB-COH-RS008279
L3880,IP26654R,,GB-COH-IP26654R
00KA,,,GB-LAE-LUT
L1518,IP19688R,,GB-COH-IP19688R
L4420,03977954,1089147,GB-CHC-1089147
C4112,IP28416R,,GB-COH-IP28416R
4630,06996964,1139327,GB-CHC-1139327
5115,12199619,,GB-COH-12199619
L4435,04912562,1106969,GB-CHC-1106969
4844,RS007520,,GB-COH-RS007520
29UH,,,GB-LAE-MAI
4637,07252320,,GB-COH-07252320
L1551,05972159,1120475,GB-CHC-1120475
4777,08458421,,GB-COH-08458421
00BN,,,GB-LAE-MAN
L1714,IP15494R,,GB-COH-IP15494R
L0406,RS020511,,GB-COH-RS020511
L3736,IP25548R,,GB-COH-IP25548R
37UF,,,GB-LAE-MAS
LH0959,IP18884R,,GB-COH-IP18884R
A3697,,216309,GB-CHC-216309
A3387,,211606,GB-CHC-211606
L1031,IP17670R,,GB-COH-IP17670R
A3822,,518431,GB-CHC-518431
A0318,,204281,GB-CHC-204281
L4303,IP030648,,GB-COH-IP030648
A4039,,222025,GB-CHC-222025
L0673,IP21444R,,GB-COH-IP21444R
C3557,IP24580R,,GB-COH-IP24580R
C2462,IP21904R,,GB-COH-IP21904R
5121,12330830,,GB-COH-12330830
00LC,,,GB-LAE-MDW
31UG,,,GB-LAE-MEL
A2600,,201233,GB-CHC-201233
L4485,IP30012R,,GB-COH-IP30012R
L1259,,206064,GB-CHC-206064
LH2343,IP21860R,,GB-COH-IP21860R
A3634,,293247,GB-CHC-293247
L0726,IP16337R,,GB-COH-IP16337R
18UD,,,GB-LAE-MDE
42UE,,,GB-LAE-MSU
00EC,,,GB-LAE-MDB
L4466,IP30069R,,GB-COH-IP30069R
C3396,IP23481R,,GB-COH-IP23481R
L3974,IP27232R,,GB-COH-IP27232R
C3285,IP23547R,,GB-COH-IP23547R
C3637,RS025071,,GB-COH-RS025071
00MG,,,GB-LAE-MIK
4870,02769788,1125743,GB-CHC-1125743
C4113,IP28417R,,GB-COH-IP28417R
LH1704,IP21027R,,GB-COH-IP21027R
C3627,IP025030,,GB-COH-IP025030
L0386,IP17434R,,GB-COH-IP17434R
L4047,IP27943R,,GB-COH-IP27943R
43UE,,,GB-LAE-MOL
C2903,IP22006R,,GB-COH-IP22006R
SL3447,IP24178R,,GB-COH-IP24178R
4857,RS007609,,GB-COH-RS007609
L0042,IP16264R,,GB-COH-IP16264R
5120,11019415,,GB-COH-11019415
5063,10069333,,GB-COH-10069333
L2194,IP18632R,,GB-COH-IP18632R
