org_id_a,org_id_b,name
GB-SC-SC007638,GB-COH-SC246433,AGE SCOTLAND ORKNEY
GB-SC-SC007670,GB-COH-SC382209,NORTH WEST WOMEN'S CENTRE
GB-SC-SC007781,GB-COH-SC178299,CROSSROADS FIFE
GB-SC-SC007856,GB-COH-SC222439,GLASGOW CHILDREN'S HOSPITAL CHARITY
GB-SC-SC007896,GB-COH-SC183419,EDINBURGH AND LOTHIANS REGIONAL EQUALITY COUNCIL LIMITED
GB-SC-SC007957,GB-COH-SC060091,LOMOND SCHOOL LIMITED
GB-SC-SC007991,GB-COH-SC312912,ABERLOUR CHILD CARE TRUST
GB-SC-SC008037,GB-COH-SC065497,SCOTTISH BALLET
GB-SC-SC008077,GB-COH-SC345307,EASTHALL RESIDENTS ASSOCIATION
GB-SC-SC008147,GB-COH-SC069001,THE CHISHOLME INSTITUTE
GB-SC-SC008158,GB-COH-SC109852,ARTLINK CENTRAL LIMITED
GB-SC-SC008170,GB-COH-SC209106,EAST KILBRIDE CITIZENS ADVICE BUREAU LIMITED
GB-SC-SC008200,GB-COH-SC163918,GLASGOW'S GOLDEN GENERATION
GB-SC-SC008237,GB-COH-SC063216,EDEN COURT HIGHLANDS
GB-SC-SC008264,GB-COH-SC064429,ROYAL SCOTTISH NATIONAL ORCHESTRA SOCIETY (PROPERTIES) LIMITED
GB-SC-SC008276,GB-COH-SC109146,NORTH EAST ABERDEENSHIRE CITIZENS ADVICE BUREAU LIMITED
GB-SC-SC008277,GB-COH-SC120333,TALBOT ASSOCIATION LIMITED
GB-SC-SC008281,GB-COH-SC272852,CROMARTY HALL TRUST
GB-SC-SC008286,GB-COH-SC219994,MIDLOTHIAN VOLUNTARY ACTION
GB-SC-SC008293,GB-COH-SC113809,SKYE & LOCHALSH FRIENDS OF ARMS LIMITED
GB-SC-SC008382,GB-COH-SC200481,POSITIVE HELP
GB-SC-SC008403,GB-COH-SC101235,HIGHLAND HISTORIC BUILDINGS TRUST
GB-SC-SC008419,GB-COH-SC224436,GLASGOW MARRIAGE COUNSELLING SERVICE
GB-SC-SC008433,GB-COH-SC254144,UNITED EAST LOTHIAN AGRICULTURAL SOCIETY
GB-SC-SC008471,GB-COH-SC130788,RELATIONSHIPS SCOTLAND TAYSIDE AND FIFE LTD
GB-SC-SC008510,GB-COH-SC438596,KINCRAIG COMMUNITY HALL ASSOCIATION
GB-SC-SC008522,GB-COH-SC102492,POOLEWE & DISTRICT SWIMMING POOL ASSOCIATION
GB-SC-SC008533,GB-COH-SC340356,OPEN DOOR SCOTLAND
GB-SC-SC008580,GB-COH-SC099885,HELM TRAINING LIMITED
GB-SC-SC008639,GB-COH-SC145067,SCOTTISH REFUGEE COUNCIL
GB-SC-SC008681,GB-COH-SC162650,HOLM EVANGELICAL CHURCH
GB-SC-SC008685,GB-COH-SC191425,MOUNTAIN BOTHIES ASSOCIATION
GB-SC-SC008731,GB-COH-SC125649,POTENTIAL LIVING
GB-SC-SC008837,GB-COH-SC273279,SHAKTI WOMEN'S AID
GB-SC-SC008890,GB-COH-SC180266,HEADWAY DUNDEE AND ANGUS
GB-SC-SC008897,GB-COH-SC082340,SCOTTISH ASSOCIATION FOR MENTAL HEALTH
GB-SC-SC008903,GB-COH-SC044822,STRATHALLAN SCHOOL
GB-SC-SC008938,GB-COH-SC103933,FAMILY MEDIATION WEST
GB-SC-SC008978,GB-COH-SC417414,THE BRUNSWICK COMMUNITY DEVELOPMENT TRUST LIMITED
GB-SC-SC009015,GB-COH-SC044723,EDINBURGH PRINTMAKERS LIMITED
GB-SC-SC009024,GB-COH-SC278976,ENABLE SCOTLAND
GB-SC-SC009068,GB-COH-SC081123,SCOTTISH AUTISM
GB-SC-SC009113,GB-COH-SC170207,LATER LIFE CHOICES GLENROTHES LTD
GB-SC-SC009211,GB-COH-SC036795,BARCAPEL FOUNDATION LIMITED
GB-SC-SC009280,GB-COH-SC101660,ENERGY ACTION SCOTLAND
GB-SC-SC009292,GB-COH-SC115681,CARE AND LEARNING ALLIANCE
GB-SC-SC009293,GB-COH-SC040139,CLIFTON HALL SCHOOL LIMITED
GB-SC-SC009334,GB-COH-SC248341,NEWARK CARE
GB-SC-SC009404,GB-COH-SC317586,PUBLISHING SCOTLAND
GB-SC-SC009449,GB-COH-SC116551,COUSLAND SMIDDY TRUST
GB-SC-SC009521,GB-COH-SC182274,CROSSROADS (PERTH & KINROSS) CARE ATTENDANT SCHEME
GB-SC-SC009537,GB-COH-SC155630,GRAMPIAN SOCIETY FOR THE BLIND
GB-SC-SC009538,GB-COH-SC094096,ALCOHOL FOCUS SCOTLAND
GB-SC-SC009569,GB-COH-SC121135,THE ROSEMOUNT DEVELOPMENT TRUST LIMITED
GB-SC-SC009609,GB-COH-SC246327,SCOTTISH DISABILITY SPORT (SDS)
