org_id_a,company_number,charity_number,org_id_b,relationship,source,sameas,Registered housing providers
GB-SHPE-A1056,,218376,GB-CHC-218376,sameas,Registered housing providers
GB-SHPE-C3041,IP22517R,,GB-COH-IP22517R,sameas,Registered housing providers
GB-SHPE-LH4165,03284666,1066916,GB-CHC-1066916,sameas,Registered housing providers
GB-SHPE-L4361,IP29516R,,GB-COH-IP29516R,sameas,Registered housing providers
GB-SHPE-C3729,IP25567R,,GB-COH-IP25567R,sameas,Registered housing providers
GB-SHPE-22UG,,,GB-LAE-COL,sameas,Registered housing providers
GB-SHPE-A2482,,205441,GB-CHC-205441,sameas,Registered housing providers
GB-SHPE-LH1651,IP20799R,,GB-COH-IP20799R,sameas,Registered housing providers
GB-SHPE-A3325,,1189922,GB-CHC-1189922,sameas,Registered housing providers
GB-SHPE-A3033,,221281,GB-CHC-221281,sameas,Registered housing providers
GB-SHPE-C2457,IP21872R,,GB-COH-IP21872R,sameas,Registered housing providers
GB-SHPE-L4457,IP29838R,,GB-COH-IP29838R,sameas,Registered housing providers
GB-SHPE-4780,06682644,,GB-COH-06682644,sameas,Registered housing providers
GB-SHPE-A2991,,216763,GB-CHC-216763,sameas,Registered housing providers
GB-SHPE-L2285,IP17445R,,GB-COH-IP17445R,sameas,Registered housing providers
GB-SHPE-LH4353,,1105907,GB-CHC-1105907,sameas,Registered housing providers
GB-SHPE-L3261,IP23607R,,GB-COH-IP23607R,sameas,Registered housing providers
GB-SHPE-C3554,IP23694R,,GB-COH-IP23694R,sameas,Registered housing providers
GB-SHPE-A4153,,223340,GB-CHC-223340,sameas,Registered housing providers
GB-SHPE-A3647,,203831,GB-CHC-203831,sameas,Registered housing providers
GB-SHPE-C3675,IP25197R,,GB-COH-IP25197R,sameas,Registered housing providers
GB-SHPE-C3756,IP025165,,GB-COH-IP025165,sameas,Registered housing providers
GB-SHPE-LH0170,IP17107R,,GB-COH-IP17107R,sameas,Registered housing providers
GB-SHPE-A2946,,226757,GB-CHC-226757,sameas,Registered housing providers
GB-SHPE-C2417,IP21732R,,GB-COH-IP21732R,sameas,Registered housing providers
GB-SHPE-L0147,IP14457R,,GB-COH-IP14457R,sameas,Registered housing providers
GB-SHPE-C0580,IP18303R,,GB-COH-IP18303R,sameas,Registered housing providers
GB-SHPE-5088,IP30200R,,GB-COH-IP30200R,sameas,Registered housing providers
GB-SHPE-00HE,,,GB-LAE-CON,sameas,Registered housing providers
GB-SHPE-4570,04662007,,GB-COH-04662007,sameas,Registered housing providers
GB-SHPE-L3613,RS024935,,GB-COH-RS024935,sameas,Registered housing providers
GB-SHPE-LH1960,IP13969R,,GB-COH-IP13969R,sameas,Registered housing providers
GB-SHPE-C2787,IP22359R,,GB-COH-IP22359R,sameas,Registered housing providers
GB-SHPE-L0284,IP19473R,,GB-COH-IP19473R,sameas,Registered housing providers
GB-SHPE-5073,RS008003,,GB-COH-RS008003,sameas,Registered housing providers
GB-SHPE-L4312,03973387,,GB-COH-03973387,sameas,Registered housing providers
GB-SHPE-00HF,,,GB-LAE-IOS,sameas,Registered housing providers
GB-SHPE-A1071,,213030,GB-CHC-213030,sameas,Registered housing providers
GB-SHPE-H4433,04644358,1100493,GB-CHC-1100493,sameas,Registered housing providers
GB-SHPE-A0581,,228486,GB-CHC-228486,sameas,Registered housing providers
GB-SHPE-36UB,,,GB-LAE-CRA,sameas,Registered housing providers
GB-SHPE-45UE,,,GB-LAE-CRW,sameas,Registered housing providers
GB-SHPE-C3125,IP23039R,,GB-COH-IP23039R,sameas,Registered housing providers
GB-SHPE-4689,IP27440R,,GB-COH-IP27440R,sameas,Registered housing providers
GB-SHPE-H4058,02875065,1030782,GB-CHC-1030782,sameas,Registered housing providers
GB-SHPE-4715,07899933,,GB-COH-07899933,sameas,Registered housing providers
GB-SHPE-4764,07765904,,GB-COH-07765904,sameas,Registered housing providers
GB-SHPE-L1719,IP19175R,,GB-COH-IP19175R,sameas,Registered housing providers
GB-SHPE-LH4428,RS007643,,GB-COH-RS007643,sameas,Registered housing providers
GB-SHPE-C3335,IP22774R,,GB-COH-IP22774R,sameas,Registered housing providers
GB-SHPE-LH0495,IP17772R,,GB-COH-IP17772R,sameas,Registered housing providers
GB-SHPE-SL3118,IP23010R,,GB-COH-IP23010R,sameas,Registered housing providers
GB-SHPE-LH4336,04302179,,GB-COH-04302179,sameas,Registered housing providers
GB-SHPE-LH4209,RS007091,,GB-COH-RS007091,sameas,Registered housing providers
GB-SHPE-L1530,IP17479R,,GB-COH-IP17479R,sameas,Registered housing providers
