org_id_a,org_id_b,org_name,relationship,source
GB-EDU-109248,GB-COH-08278118,ST NICHOLAS OF TOLENTINE CATHOLIC PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-109250,GB-COH-08135761,ST PATRICK'S CATHOLIC PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-109289,GB-COH-07732888,COTHAM SCHOOL,sameas,Organisation company numbers
GB-EDU-109326,GB-COH-07798550,ST BEDE'S CATHOLIC COLLEGE,sameas,Organisation company numbers
GB-EDU-109333,GB-COH-07495165,OLDFIELD SCHOOL,sameas,Organisation company numbers
GB-EDU-109357,GB-COH-00894685,TOCKINGTON MANOR SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-109362,GB-COH-02093340,SIDCOT SCHOOL,sameas,Organisation company numbers
GB-EDU-109369,GB-COH-05142007,BRISTOL GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-109370,GB-COH-05164477,QUEEN ELIZABETH'S HOSPITAL,sameas,Organisation company numbers
GB-EDU-109371,GB-COH-05165135,REDMAIDS' HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-109496,GB-COH-08434113,PUTNOE PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-109520,GB-COH-07851337,THE FIRS LOWER SCHOOL,sameas,Organisation company numbers
GB-EDU-109643,GB-COH-07566436,REDBORNE UPPER SCHOOL AND COMMUNITY COLLEGE,sameas,Organisation company numbers
GB-EDU-109680,GB-COH-07681848,ALAMEDA MIDDLE SCHOOL,sameas,Organisation company numbers
GB-EDU-109711,GB-COH-07831395,ICKNIELD HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-109717,GB-COH-12334380,BEDFORD GREENACRE INDEPENDENT SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-109747,GB-COH-08712137,OAK BANK SCHOOL,sameas,Organisation company numbers
GB-EDU-110042,GB-COH-07494754,KENDRICK SCHOOL,sameas,Organisation company numbers
GB-EDU-110044,GB-COH-07398941,HIGHDOWN SCHOOL AND SIXTH FORM CENTRE,sameas,Organisation company numbers
GB-EDU-110046,GB-COH-08208767,CHARTERS SCHOOL,sameas,Organisation company numbers
GB-EDU-110051,GB-COH-09683579,NEWLANDS GIRLS' SCHOOL,sameas,Organisation company numbers
GB-EDU-110058,GB-COH-07661205,THE HOLT SCHOOL,sameas,Organisation company numbers
GB-EDU-110066,GB-COH-07834715,FURZE PLATT SENIOR SCHOOL,sameas,Organisation company numbers
GB-EDU-110067,GB-COH-07831255,COX GREEN SCHOOL,sameas,Organisation company numbers
GB-EDU-110097,GB-COH-07475515,READING SCHOOL,sameas,Organisation company numbers
GB-EDU-110098,GB-COH-07721470,ST BARTHOLOMEW'S SCHOOL,sameas,Organisation company numbers
GB-EDU-110100,GB-COH-07852122,DENEFIELD SCHOOL,sameas,Organisation company numbers
GB-EDU-110101,GB-COH-07536795,LANGLEY GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-110105,GB-COH-09583593,THE WESTGATE SCHOOL,sameas,Organisation company numbers
GB-EDU-110112,GB-COH-01085850,HEMDEAN HOUSE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-110117,GB-COH-00556463,HEATHFIELD SCHOOL,sameas,Organisation company numbers
GB-EDU-110120,GB-COH-01844327,ST MARY'S SCHOOL ASCOT,sameas,Organisation company numbers
GB-EDU-110130,GB-COH-00677794,UPTON HOUSE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-110136,GB-COH-01091938,LUCKLEY HOUSE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-110138,GB-COH-01053039,LUDGROVE SCHOOL TRUST LIMITED,sameas,Organisation company numbers
GB-EDU-110151,GB-COH-04243510,READING BLUE COAT SCHOOL,sameas,Organisation company numbers
GB-EDU-110161,GB-COH-00623043,ETON END SCHOOL TRUST (DATCHET) LIMITED,sameas,Organisation company numbers
GB-EDU-110390,GB-COH-08565187,LOUGHTON SCHOOL,sameas,Organisation company numbers
GB-EDU-110485,GB-COH-07638999,JOHN HAMPDEN GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-110487,GB-COH-07647327,OUSEDALE SCHOOL,sameas,Organisation company numbers
GB-EDU-110491,GB-COH-07633408,JOHN COLET SCHOOL,sameas,Organisation company numbers
GB-EDU-110494,GB-COH-07633357,AYLESBURY HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-110495,GB-COH-07694530,DR CHALLONER'S HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-110499,GB-COH-07827237,HOLMER GREEN SENIOR SCHOOL,sameas,Organisation company numbers
GB-EDU-110509,GB-COH-07662135,AMERSHAM SCHOOL,sameas,Organisation company numbers
GB-EDU-110511,GB-COH-07538386,AYLESBURY GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-110514,GB-COH-07451811,DR CHALLONER'S GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-110528,GB-COH-08679235,BEACONSFIELD HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-110529,GB-COH-07693365,THE CHALFONTS COMMUNITY COLLEGE,sameas,Organisation company numbers
